rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,source_name,source_date
124,Guadeloupe,1338,91,1408,-3,-15,293,92,89,112,128,114,51,507,410,World Football Elo Ratings PDF,2026-06-21
125,Rwanda,1337,144,1207,6,16,290,107,100,83,90,126,74,298,364,World Football Elo Ratings PDF,2026-06-21
126,Nicaragua,1333,146,1031,3,8,253,63,100,90,54,167,32,258,621,World Football Elo Ratings PDF,2026-06-21
127,Kuwait,1332,83,1468,13,42,762,269,176,317,321,248,193,1198,880,World Football Elo Ratings PDF,2026-06-21
128,Mauritania,1329,155,1116,-2,-4,300,91,103,106,56,173,71,217,527,World Football Elo Ratings PDF,2026-06-21
129,Azerbaijan,1322,107,1397,-10,-43,324,116,152,56,67,176,81,265,545,World Football Elo Ratings PDF,2026-06-21
130,Zanzibar,1320,145,1119,3,0,217,37,45,135,39,131,47,186,458,World Football Elo Ratings PDF,2026-06-21
131,Cyprus,1314,102,1377,5,15,429,237,186,6,84,271,74,387,932,World Football Elo Ratings PDF,2026-06-21
132,Tanzania,1313,117,1295,-30,-83,658,244,237,177,193,280,185,752,963,World Football Elo Ratings PDF,2026-06-21
133,Martinique,1312,79,1458,-17,-61,371,136,125,110,167,116,88,676,488,World Football Elo Ratings PDF,2026-06-21
134,Liberia,1304,112,1342,15,41,342,146,144,52,91,175,76,318,521,World Football Elo Ratings PDF,2026-06-21
135,Namibia,1303,136,1272,-22,-77,304,102,121,81,77,135,92,295,424,World Football Elo Ratings PDF,2026-06-21
136,Kyrgyzstan,1295,155,1203,-9,-37,192,49,74,69,55,105,32,208,337,World Football Elo Ratings PDF,2026-06-21
137,Malaysia,1293,122,1290,2,2,925,390,240,295,362,352,211,1512,1339,World Football Elo Ratings PDF,2026-06-21
138,Guyana,1292,104,1294,11,29,455,179,193,83,142,223,90,588,788,World Football Elo Ratings PDF,2026-06-21
139,Latvia,1288,87,1399,-4,-13,459,193,213,53,128,220,111,536,754,World Football Elo Ratings PDF,2026-06-21
139,Lebanon,1288,108,1333,-11,-39,421,140,144,137,123,186,112,507,621,World Football Elo Ratings PDF,2026-06-21
141,Ethiopia,1287,99,1394,4,8,474,216,163,95,171,199,104,657,691,World Football Elo Ratings PDF,2026-06-21
142,New Caledonia,1286,103,1357,0,1,285,87,71,127,141,110,34,739,419,World Football Elo Ratings PDF,2026-06-21
143,Burundi,1285,125,1285,-5,-7,241,52,89,100,74,112,55,274,334,World Football Elo Ratings PDF,2026-06-21
143,Tajikistan,1285,123,1334,-2,-3,212,57,84,71,80,86,46,305,297,World Football Elo Ratings PDF,2026-06-21
145,Dominican Republic,1283,167,1060,-1,2,190,86,64,40,69,89,32,301,307,World Football Elo Ratings PDF,2026-06-21
146,Lithuania,1279,92,1318,-9,-15,418,170,207,41,106,230,82,415,759,World Football Elo Ratings PDF,2026-06-21
147,Moldova,1270,109,1390,-13,-49,302,115,146,41,60,172,70,247,523,World Football Elo Ratings PDF,2026-06-21
148,Botswana,1267,150,1167,-26,-85,368,166,136,66,98,166,104,311,490,World Football Elo Ratings PDF,2026-06-21
149,Malta,1255,118,1322,4,5,456,246,183,27,66,314,76,298,1020,World Football Elo Ratings PDF,2026-06-21
150,Guinea-Bissau,1248,126,1282,-2,-16,215,66,64,85,58,104,53,215,320,World Football Elo Ratings PDF,2026-06-21
151,Cuba,1239,84,1438,4,15,485,103,212,170,185,189,111,678,684,World Football Elo Ratings PDF,2026-06-21
151,Malawi,1239,115,1327,0,-17,700,306,245,149,232,265,203,817,902,World Football Elo Ratings PDF,2026-06-21
153,Central African Republic,1236,124,1295,-7,-42,164,32,67,65,36,94,34,181,326,World Football Elo Ratings PDF,2026-06-21
154,French Guiana,1223,125,1246,2,0,190,66,67,57,57,92,41,280,328,World Football Elo Ratings PDF,2026-06-21
155,Mayotte,1216,157,1202,4,0,41,2,11,28,13,17,11,55,59,World Football Elo Ratings PDF,2026-06-21
